"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,282.00,"Southwest Airlines Co.","OMA","Omaha, NE","Nebraska","MSP","Minneapolis, MN","Minnesota",
1.00,2159.00,"Southwest Airlines Co.","ONT","Ontario, CA","California","CHS","Charleston, SC","South Carolina",
1.00,2078.00,"Southwest Airlines Co.","ONT","Ontario, CA","California","CLT","Charlotte, NC","North Carolina",
1.00,1091.00,"Southwest Airlines Co.","PBI","West Palm Beach/Palm Beach, FL","Florida","DAL","Dallas, TX","Texas",
1.00,1441.00,"Southwest Airlines Co.","PDX","Portland, OR","Oregon","MAF","Midland/Odessa, TX","Texas",
1.00,2454.00,"Southwest Airlines Co.","PDX","Portland, OR","Oregon","ORF","Norfolk, VA","Virginia",
1.00,3716.00,"Southwest Airlines Co.","PDX","Portland, OR","Oregon","SJU","San Juan, PR","Puerto Rico",
1.00,2497.00,"Southwest Airlines Co.","PDX","Portland, OR","Oregon","TPA","Tampa, FL","Florida",
1.00,1205.00,"Southwest Airlines Co.","PHL","Philadelphia, PA","Pennsylvania","ICT","Wichita, KS","Kansas",
1.00,2274.00,"Southwest Airlines Co.","PVD","Providence, RI","Rhode Island","GEG","Spokane, WA","Washington",
1.00,2535.00,"Southwest Airlines Co.","PVD","Providence, RI","Rhode Island","PDX","Portland, OR","Oregon",
1.00,2093.00,"Southwest Airlines Co.","PVD","Providence, RI","Rhode Island","SLC","Salt Lake City, UT","Utah",
1.00,2015.00,"Southwest Airlines Co.","PWM","Portland, ME","Maine","ABQ","Albuquerque, NM","New Mexico",
1.00,372.00,"Southwest Airlines Co.","PWM","Portland, ME","Maine","ROC","Rochester, NY","New York",
1.00,532.00,"Southwest Airlines Co.","RDU","Raleigh/Durham, NC","North Carolina","BDL","Hartford, CT","Connecticut",
1.00,501.00,"Southwest Airlines Co.","RDU","Raleigh/Durham, NC","North Carolina","DTW","Detroit, MI","Michigan",
1.00,1606.00,"Southwest Airlines Co.","RDU","Raleigh/Durham, NC","North Carolina","ELP","El Paso, TX","Texas",
1.00,2354.00,"Southwest Airlines Co.","RDU","Raleigh/Durham, NC","North Carolina","SEA","Seattle, WA","Washington",
1.00,805.00,"Southwest Airlines Co.","RIC","Richmond, VA","Virginia","FLL","Fort Lauderdale, FL","Florida",
1.00,328.00,"Southwest Airlines Co.","RIC","Richmond, VA","Virginia","GSP","Greer, SC","South Carolina",
1.00,2265.00,"Southwest Airlines Co.","RIC","Richmond, VA","Virginia","SAN","San Diego, CA","California",
1.00,2355.00,"Southwest Airlines Co.","RNO","Reno, NV","Nevada","ORF","Norfolk, VA","Virginia",
1.00,1322.00,"Southwest Airlines Co.","RNO","Reno, NV","Nevada","TUL","Tulsa, OK","Oklahoma",
1.00,316.00,"Southwest Airlines Co.","ROC","Rochester, NY","New York","MHT","Manchester, NH","New Hampshire",
1.00,799.00,"Southwest Airlines Co.","RSW","Fort Myers, FL","Florida","RIC","Richmond, VA","Virginia",
1.00,2447.00,"Southwest Airlines Co.","RSW","Fort Myers, FL","Florida","SMF","Sacramento, CA","California",
1.00,2502.00,"Southwest Airlines Co.","SAN","San Diego, CA","California","BDL","Hartford, CT","Connecticut",
1.00,135.00,"Southwest Airlines Co.","SAT","San Antonio, TX","Texas","CRP","Corpus Christi, TX","Texas",
